Habitat,Ukuran,Perlindungan,Populasi,Tipe_Spesies,Lokasi,Status_Konservasi
Gurun,Kecil,Dilindungi,Sedang,Fauna,Makassar,Aman
Hutan,Besar,Dilindungi,Sedang,Flora,Bandung,Aman
Perairan,Besar,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Perairan,Sedang,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Flora,Bandung,Aman
Hutan,Kecil,Dilindungi,Tinggi,Fauna,Bandung,Aman
Perairan,Sedang,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Gurun,Sedang,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Surabaya,Terancam
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Jakarta,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Besar,Dilindungi,Tinggi,Fauna,Makassar,Aman
Hutan,Sedang,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Perairan,Kecil,Dilindungi,Tinggi,Fauna,Makassar,Aman
Gurun,Sedang,Tidak Dilindungi,Sedang,Fauna,Makassar,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Surabaya,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Tinggi,Flora,Makassar,Hampir Punah
Hutan,Besar,Dilindungi,Rendah,Flora,Medan,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Rendah,Flora,Makassar,Terancam
Perairan,Sedang,Tidak Dilindungi,Tinggi,Flora,Surabaya,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Surabaya,Terancam
Gurun,Kecil,Dilindungi,Sedang,Flora,Medan,Aman
Perairan,Kecil,Dilindungi,Sedang,Flora,Bandung,Aman
Perairan,Sedang,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Hutan,Besar,Dilindungi,Sedang,Flora,Makassar,Aman
Perairan,Kecil,Dilindungi,Rendah,Fauna,Jakarta,Aman
Perairan,Kecil,Dilindungi,Tinggi,Flora,Makassar,Aman
Gurun,Sedang,Dilindungi,Tinggi,Fauna,Medan,Aman
Gurun,Kecil,Dilindungi,Sedang,Fauna,Medan,Aman
Hutan,Besar,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Besar,Dilindungi,Rendah,Flora,Medan,Hampir Punah
Perairan,Kecil,Dilindungi,Sedang,Flora,Medan,Aman
Perairan,Kecil,Dilindungi,Tinggi,Flora,Surabaya,Aman
Hutan,Sedang,Dilindungi,Sedang,Flora,Bandung,Aman
Hutan,Besar,Tidak Dilindungi,Tinggi,Fauna,Medan,Terancam
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Hutan,Kecil,Dilindungi,Tinggi,Flora,Jakarta,Aman
Perairan,Sedang,Tidak Dilindungi,Sedang,Flora,Jakarta,Aman
Perairan,Besar,Tidak Dilindungi,Rendah,Flora,Jakarta,Terancam
Hutan,Besar,Dilindungi,Sedang,Flora,Surabaya,Aman
Perairan,Sedang,Dilindungi,Sedang,Fauna,Jakarta,Aman
Perairan,Sedang,Dilindungi,Tinggi,Flora,Medan,Aman
Hutan,Besar,Tidak Dilindungi,Sedang,Fauna,Makassar,Terancam
Hutan,Besar,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Perairan,Sedang,Dilindungi,Rendah,Fauna,Surabaya,Hampir Punah
Perairan,Besar,Dilindungi,Tinggi,Flora,Surabaya,Aman
Perairan,Kecil,Dilindungi,Rendah,Flora,Jakarta,Aman
Gurun,Kecil,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Tinggi,Fauna,Surabaya,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Hutan,Besar,Dilindungi,Sedang,Flora,Surabaya,Aman
Hutan,Kecil,Dilindungi,Tinggi,Flora,Jakarta,Terancam
Gurun,Besar,Dilindungi,Sedang,Fauna,Medan,Aman
Gurun,Kecil,Tidak Dilindungi,Tinggi,Fauna,Jakarta,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Perairan,Kecil,Dilindungi,Sedang,Flora,Bandung,Aman
Gurun,Sedang,Dilindungi,Tinggi,Fauna,Medan,Aman
Perairan,Kecil,Tidak Dilindungi,Sedang,Fauna,Medan,Aman
Hutan,Besar,Dilindungi,Tinggi,Fauna,Bandung,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Surabaya,Terancam
Gurun,Kecil,Dilindungi,Sedang,Flora,Jakarta,Aman
Hutan,Kecil,Dilindungi,Tinggi,Flora,Makassar,Aman
Hutan,Sedang,Dilindungi,Tinggi,Flora,Jakarta,Aman
Hutan,Kecil,Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Perairan,Sedang,Dilindungi,Sedang,Flora,Surabaya,Aman
Gurun,Sedang,Dilindungi,Tinggi,Fauna,Jakarta,Aman
Hutan,Kecil,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Sedang,Flora,Medan,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Tinggi,Fauna,Makassar,Aman
Perairan,Kecil,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Perairan,Kecil,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Hutan,Besar,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Rendah,Flora,Makassar,Terancam
Hutan,Besar,Dilindungi,Sedang,Flora,Medan,Aman
Hutan,Besar,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Gurun,Sedang,Dilindungi,Sedang,Fauna,Surabaya,Aman
Perairan,Besar,Dilindungi,Rendah,Fauna,Surabaya,Hampir Punah
Perairan,Kecil,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Sedang,Flora,Makassar,Hampir Punah
Hutan,Sedang,Dilindungi,Sedang,Flora,Medan,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Sedang,Flora,Bandung,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Tinggi,Fauna,Surabaya,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Gurun,Kecil,Dilindungi,Sedang,Flora,Jakarta,Aman
Gurun,Sedang,Dilindungi,Sedang,Fauna,Medan,Aman
Perairan,Sedang,Tidak Dilindungi,Sedang,Flora,Surabaya,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Fauna,Makassar,Aman
Perairan,Besar,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Hutan,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Hutan,Sedang,Tidak Dilindungi,Sedang,Flora,Surabaya,Terancam
Hutan,Sedang,Dilindungi,Tinggi,Flora,Medan,Aman
Perairan,Kecil,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Hutan,Sedang,Dilindungi,Tinggi,Flora,Bandung,Aman
Gurun,Sedang,Dilindungi,Sedang,Flora,Surabaya,Aman
Gurun,Sedang,Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
Gurun,Sedang,Dilindungi,Sedang,Fauna,Medan,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Hutan,Kecil,Tidak Dilindungi,Rendah,Fauna,Jakarta,Terancam
Hutan,Besar,Tidak Dilindungi,Sedang,Flora,Jakarta,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Perairan,Besar,Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Gurun,Kecil,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Gurun,Kecil,Tidak Dilindungi,Rendah,Fauna,Medan,Terancam
Hutan,Kecil,Dilindungi,Sedang,Fauna,Jakarta,Aman
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Perairan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Perairan,Sedang,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Perairan,Besar,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Hutan,Kecil,Dilindungi,Sedang,Fauna,Jakarta,Aman
Perairan,Sedang,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Rendah,Fauna,Jakarta,Terancam
Gurun,Kecil,Dilindungi,Sedang,Fauna,Bandung,Aman
Gurun,Besar,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Medan,Hampir Punah
Perairan,Sedang,Dilindungi,Sedang,Flora,Makassar,Aman
Perairan,Sedang,Tidak Dilindungi,Sedang,Fauna,Makassar,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Rendah,Fauna,Surabaya,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Rendah,Flora,Jakarta,Terancam
Perairan,Besar,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
Hutan,Kecil,Dilindungi,Sedang,Flora,Surabaya,Aman
Perairan,Besar,Tidak Dilindungi,Tinggi,Fauna,Surabaya,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Medan,Aman
Perairan,Sedang,Dilindungi,Tinggi,Flora,Jakarta,Aman
Gurun,Kecil,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Perairan,Sedang,Tidak Dilindungi,Rendah,Flora,Surabaya,Terancam
Perairan,Besar,Tidak Dilindungi,Tinggi,Fauna,Jakarta,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Medan,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Rendah,Fauna,Medan,Terancam
Hutan,Kecil,Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Rendah,Flora,Jakarta,Terancam
Perairan,Besar,Dilindungi,Tinggi,Flora,Surabaya,Aman
Gurun,Kecil,Tidak Dilindungi,Sedang,Flora,Jakarta,Terancam
Hutan,Sedang,Dilindungi,Tinggi,Fauna,Makassar,Aman
Perairan,Besar,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Hutan,Besar,Dilindungi,Sedang,Flora,Bandung,Aman
Hutan,Kecil,Tidak Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Gurun,Kecil,Dilindungi,Sedang,Fauna,Surabaya,Terancam
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Makassar,Terancam
Perairan,Sedang,Dilindungi,Sedang,Flora,Jakarta,Aman
Gurun,Kecil,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Gurun,Besar,Dilindungi,Tinggi,Fauna,Jakarta,Aman
Perairan,Besar,Dilindungi,Tinggi,Fauna,Medan,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Jakarta,Terancam
Gurun,Kecil,Tidak Dilindungi,Tinggi,Flora,Makassar,Hampir Punah
Hutan,Besar,Dilindungi,Sedang,Flora,Medan,Terancam
Hutan,Sedang,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Gurun,Kecil,Dilindungi,Tinggi,Fauna,Jakarta,Terancam
Hutan,Kecil,Dilindungi,Rendah,Fauna,Jakarta,Aman
Gurun,Besar,Dilindungi,Sedang,Fauna,Medan,Aman
Hutan,Kecil,Tidak Dilindungi,Sedang,Flora,Surabaya,Hampir Punah
Hutan,Sedang,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Perairan,Besar,Dilindungi,Sedang,Flora,Makassar,Aman
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Hutan,Besar,Tidak Dilindungi,Sedang,Flora,Surabaya,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Perairan,Kecil,Dilindungi,Sedang,Fauna,Makassar,Aman
Perairan,Sedang,Dilindungi,Tinggi,Fauna,Jakarta,Aman
Gurun,Sedang,Dilindungi,Sedang,Flora,Medan,Aman
Hutan,Besar,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Rendah,Flora,Makassar,Terancam
Hutan,Kecil,Dilindungi,Sedang,Flora,Medan,Aman
Gurun,Sedang,Dilindungi,Tinggi,Flora,Makassar,Aman
Gurun,Kecil,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Perairan,Sedang,Dilindungi,Rendah,Fauna,Medan,Terancam
Gurun,Kecil,Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
Hutan,Besar,Dilindungi,Tinggi,Flora,Jakarta,Aman
Perairan,Kecil,Dilindungi,Sedang,Flora,Jakarta,Aman
Hutan,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Makassar,Aman
Gurun,Sedang,Dilindungi,Tinggi,Flora,Surabaya,Aman
Gurun,Besar,Dilindungi,Sedang,Flora,Medan,Aman
Gurun,Besar,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Perairan,Sedang,Dilindungi,Sedang,Flora,Makassar,Aman
Hutan,Sedang,Dilindungi,Rendah,Flora,Makassar,Hampir Punah
Hutan,Sedang,Dilindungi,Tinggi,Flora,Jakarta,Aman
Hutan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Hutan,Sedang,Dilindungi,Sedang,Fauna,Surabaya,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Aman
Hutan,Besar,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Hutan,Sedang,Dilindungi,Rendah,Fauna,Makassar,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Sedang,Fauna,Jakarta,Terancam
Perairan,Sedang,Dilindungi,Rendah,Flora,Surabaya,Terancam
Perairan,Sedang,Tidak Dilindungi,Sedang,Fauna,Bandung,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Flora,Jakarta,Aman
Perairan,Kecil,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Flora,Surabaya,Aman
Gurun,Besar,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Gurun,Besar,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Hutan,Kecil,Dilindungi,Rendah,Fauna,Bandung,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Bandung,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Sedang,Fauna,Bandung,Hampir Punah
Perairan,Sedang,Dilindungi,Rendah,Fauna,Jakarta,Hampir Punah
Perairan,Besar,Dilindungi,Tinggi,Fauna,Jakarta,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Jakarta,Aman
Hutan,Besar,Tidak Dilindungi,Rendah,Flora,Surabaya,Terancam
Gurun,Sedang,Dilindungi,Tinggi,Flora,Makassar,Aman
Hutan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Perairan,Sedang,Dilindungi,Sedang,Fauna,Bandung,Aman
Hutan,Sedang,Dilindungi,Tinggi,Flora,Surabaya,Aman
Hutan,Sedang,Dilindungi,Sedang,Flora,Bandung,Aman
Hutan,Sedang,Dilindungi,Tinggi,Fauna,Jakarta,Terancam
Perairan,Sedang,Dilindungi,Rendah,Flora,Makassar,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Sedang,Fauna,Medan,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Sedang,Fauna,Bandung,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Sedang,Flora,Jakarta,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Hutan,Sedang,Dilindungi,Rendah,Fauna,Makassar,Aman
Gurun,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Sedang,Flora,Surabaya,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Fauna,Medan,Aman
Hutan,Besar,Dilindungi,Sedang,Flora,Bandung,Aman
Hutan,Sedang,Tidak Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Perairan,Kecil,Dilindungi,Sedang,Flora,Makassar,Aman
Perairan,Sedang,Dilindungi,Tinggi,Fauna,Bandung,Aman
Hutan,Kecil,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Perairan,Sedang,Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Hutan,Kecil,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Hutan,Kecil,Dilindungi,Sedang,Fauna,Bandung,Aman
Perairan,Sedang,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Hutan,Sedang,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Gurun,Sedang,Dilindungi,Tinggi,Flora,Jakarta,Aman
Hutan,Kecil,Dilindungi,Rendah,Flora,Makassar,Hampir Punah
Gurun,Sedang,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Tinggi,Flora,Medan,Aman
Gurun,Besar,Dilindungi,Rendah,Flora,Medan,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Perairan,Besar,Tidak Dilindungi,Rendah,Flora,Medan,Terancam
Gurun,Besar,Tidak Dilindungi,Sedang,Flora,Makassar,Hampir Punah
Gurun,Kecil,Dilindungi,Tinggi,Fauna,Medan,Aman
Perairan,Besar,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Gurun,Besar,Dilindungi,Sedang,Flora,Medan,Aman
Perairan,Besar,Dilindungi,Tinggi,Flora,Makassar,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Gurun,Besar,Dilindungi,Sedang,Fauna,Surabaya,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Flora,Jakarta,Terancam
Gurun,Besar,Dilindungi,Tinggi,Fauna,Surabaya,Aman
Hutan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Hutan,Sedang,Dilindungi,Tinggi,Flora,Bandung,Aman
Hutan,Kecil,Dilindungi,Sedang,Fauna,Bandung,Aman
Perairan,Sedang,Tidak Dilindungi,Sedang,Flora,Makassar,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Hutan,Kecil,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Gurun,Kecil,Dilindungi,Tinggi,Flora,Medan,Aman
Perairan,Sedang,Tidak Dilindungi,Tinggi,Flora,Makassar,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Bandung,Aman
Gurun,Sedang,Dilindungi,Sedang,Flora,Bandung,Hampir Punah
Hutan,Kecil,Dilindungi,Rendah,Flora,Jakarta,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Rendah,Flora,Bandung,Terancam
Gurun,Kecil,Dilindungi,Tinggi,Flora,Jakarta,Aman
Perairan,Kecil,Tidak Dilindungi,Sedang,Flora,Makassar,Hampir Punah
Hutan,Kecil,Dilindungi,Rendah,Fauna,Makassar,Hampir Punah
Hutan,Sedang,Dilindungi,Sedang,Fauna,Jakarta,Terancam
Hutan,Sedang,Dilindungi,Tinggi,Flora,Makassar,Aman
Gurun,Sedang,Dilindungi,Rendah,Fauna,Makassar,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Perairan,Sedang,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Perairan,Kecil,Dilindungi,Sedang,Flora,Bandung,Aman
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Gurun,Kecil,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Perairan,Sedang,Tidak Dilindungi,Sedang,Flora,Jakarta,Aman
Perairan,Kecil,Dilindungi,Tinggi,Flora,Makassar,Aman
Gurun,Besar,Dilindungi,Sedang,Fauna,Medan,Aman
Perairan,Kecil,Dilindungi,Tinggi,Fauna,Makassar,Aman
Hutan,Sedang,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Medan,Terancam
Perairan,Sedang,Tidak Dilindungi,Sedang,Fauna,Makassar,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Fauna,Medan,Aman
Hutan,Besar,Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Gurun,Kecil,Tidak Dilindungi,Sedang,Fauna,Bandung,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Fauna,Makassar,Hampir Punah
Gurun,Sedang,Dilindungi,Rendah,Flora,Medan,Hampir Punah
Gurun,Kecil,Dilindungi,Sedang,Flora,Jakarta,Hampir Punah
Hutan,Kecil,Dilindungi,Sedang,Flora,Makassar,Aman
Gurun,Besar,Tidak Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Fauna,Bandung,Hampir Punah
Perairan,Besar,Dilindungi,Sedang,Fauna,Makassar,Aman
Gurun,Besar,Dilindungi,Rendah,Fauna,Medan,Hampir Punah
Perairan,Besar,Dilindungi,Sedang,Fauna,Bandung,Aman
Hutan,Sedang,Tidak Dilindungi,Sedang,Fauna,Medan,Hampir Punah
Hutan,Sedang,Tidak Dilindungi,Rendah,Fauna,Bandung,Terancam
Hutan,Sedang,Dilindungi,Sedang,Flora,Bandung,Terancam
Hutan,Besar,Dilindungi,Sedang,Fauna,Surabaya,Aman
Perairan,Sedang,Dilindungi,Tinggi,Flora,Bandung,Aman
Gurun,Sedang,Dilindungi,Sedang,Flora,Jakarta,Aman
Hutan,Kecil,Dilindungi,Sedang,Fauna,Makassar,Aman
Gurun,Sedang,Dilindungi,Sedang,Flora,Makassar,Aman
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Perairan,Besar,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Perairan,Besar,Tidak Dilindungi,Tinggi,Fauna,Jakarta,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Tinggi,Flora,Medan,Hampir Punah
Gurun,Besar,Dilindungi,Rendah,Fauna,Surabaya,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Medan,Terancam
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Perairan,Besar,Tidak Dilindungi,Sedang,Flora,Medan,Hampir Punah
Perairan,Kecil,Tidak Dilindungi,Tinggi,Flora,Jakarta,Hampir Punah
Gurun,Sedang,Dilindungi,Tinggi,Flora,Jakarta,Aman
Perairan,Sedang,Tidak Dilindungi,Tinggi,Fauna,Makassar,Hampir Punah
Gurun,Sedang,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Sedang,Fauna,Surabaya,Hampir Punah
Gurun,Besar,Dilindungi,Tinggi,Fauna,Makassar,Aman
Hutan,Besar,Tidak Dilindungi,Sedang,Flora,Medan,Hampir Punah
Gurun,Kecil,Dilindungi,Sedang,Flora,Surabaya,Aman
Perairan,Besar,Tidak Dilindungi,Sedang,Fauna,Jakarta,Hampir Punah
Perairan,Kecil,Dilindungi,Sedang,Flora,Jakarta,Aman
Hutan,Sedang,Dilindungi,Rendah,Fauna,Bandung,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Rendah,Fauna,Surabaya,Terancam
Hutan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Medan,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Fauna,Makassar,Hampir Punah
Gurun,Besar,Tidak Dilindungi,Rendah,Fauna,Makassar,Terancam
Hutan,Sedang,Dilindungi,Tinggi,Flora,Medan,Aman
Perairan,Sedang,Dilindungi,Tinggi,Flora,Bandung,Aman
Gurun,Sedang,Dilindungi,Tinggi,Fauna,Makassar,Aman
Gurun,Kecil,Dilindungi,Rendah,Fauna,Surabaya,Hampir Punah
Gurun,Kecil,Dilindungi,Rendah,Flora,Bandung,Hampir Punah
Hutan,Kecil,Tidak Dilindungi,Tinggi,Flora,Surabaya,Hampir Punah
Hutan,Kecil,Dilindungi,Sedang,Fauna,Jakarta,Terancam
Hutan,Sedang,Dilindungi,Tinggi,Flora,Bandung,Terancam
Hutan,Besar,Tidak Dilindungi,Sedang,Fauna,Makassar,Hampir Punah
Hutan,Kecil,Dilindungi,Sedang,Flora,Bandung,Aman
Perairan,Kecil,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Perairan,Sedang,Tidak Dilindungi,Tinggi,Flora,Bandung,Hampir Punah
Hutan,Besar,Tidak Dilindungi,Tinggi,Fauna,Bandung,Hampir Punah
Gurun,Besar,Dilindungi,Rendah,Flora,Surabaya,Hampir Punah
